Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
E01009249,1560,1.22,0.30,0.30,0.17,0.04,-1.21,2.70,0.69,0.00,0.01,1.02,5.38,,
E01009250,1747,1.36,0.43,0.34,0.19,0.04,-1.35,2.29,0.42,0.00,0.03,1.14,4.77,,
E01009251,1551,1.21,0.33,0.29,0.16,0.04,-1.20,1.88,0.47,0.00,0.02,1.01,4.16,,
E01009252,1633,1.27,0.36,0.27,0.17,0.04,-1.26,3.57,0.17,0.00,0.04,1.06,5.69,,
E01009253,1623,1.27,0.48,0.30,0.17,0.04,-1.25,2.74,0.53,0.00,0.01,1.06,5.69,,
E01009254,1993,1.56,0.33,0.35,0.21,0.05,-1.54,2.53,0.56,0.00,0.02,1.30,5.30,,
E01009255,1522,1.19,0.13,0.28,0.16,0.04,-1.18,0.12,0.09,0.00,0.04,0.99,1.96,,
E01009256,1697,1.40,0.61,0.36,0.18,0.04,-1.34,1.33,0.09,0.00,0.04,1.12,3.11,,
E01009257,1644,1.30,0.33,0.30,0.18,0.04,-1.27,0.07,0.08,0.00,0.04,1.07,2.04,,
E01009258,1536,1.20,0.29,0.28,0.16,0.04,-1.19,2.24,0.22,0.00,0.04,1.00,4.45,,
E01009259,1757,1.38,0.62,0.32,0.19,0.04,-1.38,2.34,0.37,0.00,0.03,1.15,4.96,,
E01008975,1515,1.22,0.45,0.27,0.17,0.04,-1.23,1.53,0.28,0.00,0.03,1.04,3.87,,
E01009145,1993,1.55,0.67,0.34,0.21,0.05,-1.54,3.18,0.24,0.00,0.05,1.30,5.82,,
E01009260,1617,1.26,0.23,0.31,0.17,0.04,-1.25,3.08,0.20,0.00,0.04,1.05,5.17,,
E01008994,1564,1.22,0.12,0.29,0.17,0.04,-1.21,0.34,0.31,0.00,0.03,1.02,2.35,,
E01009161,1376,1.20,0.12,0.28,0.15,0.04,-1.11,1.57,0.09,0.00,0.04,0.94,3.06,,
E01009062,1871,1.46,0.22,0.37,0.20,0.04,-1.45,1.01,0.36,0.00,0.03,1.22,3.65,,
E01008846,1192,0.94,0.16,0.21,0.13,0.03,-0.92,1.88,0.21,0.00,0.03,0.78,3.57,,
E01008965,1458,1.14,0.35,0.25,0.15,0.03,-1.13,1.11,0.23,0.00,0.03,0.95,3.27,,
E01009064,1532,1.20,0.42,0.28,0.16,0.04,-1.19,2.13,0.57,0.00,0.02,1.00,4.46,,
E01009065,1698,1.32,0.41,0.31,0.18,0.04,-1.31,2.03,0.52,0.00,0.02,1.10,4.52,,
E01009066,2009,1.57,0.50,0.37,0.21,0.05,-1.56,1.43,0.40,0.00,0.03,1.31,4.41,,
E01009067,1560,1.22,0.42,0.29,0.17,0.04,-1.20,2.18,0.59,0.00,0.02,1.02,4.58,,
E01009068,1573,1.23,0.28,0.29,0.17,0.04,-1.21,1.89,0.44,0.00,0.01,1.02,3.92,,
E01009069,1706,1.33,0.57,0.32,0.18,0.04,-1.32,2.59,0.19,0.00,0.04,1.11,4.59,,
E01009070,1615,1.27,0.27,0.28,0.18,0.04,-1.27,0.72,0.29,0.00,0.03,1.06,3.01,,
E01009071,1707,1.34,0.46,0.34,0.18,0.04,-1.32,0.04,0.09,0.00,0.05,1.11,2.15,,
E01009072,1773,1.38,0.33,0.34,0.19,0.04,-1.37,2.39,0.75,0.00,0.02,1.15,5.49,,
E01009073,1797,1.40,0.49,0.33,0.19,0.04,-1.39,2.51,0.55,0.00,0.02,1.17,5.05,,
E01009074,1783,1.39,0.47,0.31,0.19,0.04,-1.38,3.51,0.46,0.00,0.03,1.16,6.07,,
E01009075,1578,1.23,0.25,0.28,0.17,0.04,-1.22,2.14,0.45,0.00,0.02,1.03,4.53,,
E01009077,1579,1.23,0.18,0.27,0.17,0.04,-1.22,0.08,0.10,0.00,0.04,1.03,1.90,,
E01009078,1519,1.19,0.18,0.28,0.16,0.04,-1.19,1.76,0.38,0.00,0.02,1.00,3.85,,
E01009079,1351,1.08,0.28,0.25,0.15,0.03,-1.08,1.26,0.28,0.00,0.02,0.93,3.21,,
E01009080,1354,1.06,0.42,0.24,0.14,0.03,-1.05,2.42,0.45,0.00,0.01,0.88,4.94,,
E01009081,1403,1.09,0.08,0.25,0.15,0.03,-1.08,0.52,0.28,0.00,0.03,0.91,2.45,,
E01009082,1523,1.19,0.13,0.28,0.16,0.04,-1.18,0.10,0.10,0.00,0.04,0.99,1.83,,
E01009083,1549,1.21,0.38,0.27,0.16,0.04,-1.20,2.23,0.41,0.00,0.02,1.01,4.38,,
E01009084,2050,1.61,0.41,0.33,0.22,0.05,-1.58,3.30,0.55,0.00,0.03,1.33,6.19,,
E01009085,2155,1.70,0.70,0.41,0.23,0.05,-1.70,3.65,0.61,0.00,0.03,1.43,7.12,,
E01009086,2280,1.78,0.18,0.43,0.24,0.05,-1.76,0.03,0.14,0.00,0.06,1.48,2.70,,
E01009087,1828,1.48,0.29,0.34,0.20,0.05,-1.50,2.72,0.17,0.00,0.05,1.25,4.99,,
E01009088,1592,1.24,0.14,0.28,0.17,0.04,-1.23,0.54,0.30,0.00,0.03,1.04,2.69,,
E01009089,1835,1.43,0.27,0.34,0.19,0.04,-1.42,1.11,0.37,0.00,0.03,1.20,3.53,,
E01009090,2181,1.70,1.05,0.42,0.23,0.05,-1.68,3.72,0.97,0.00,0.02,1.42,7.52,,
E01009091,1671,1.30,0.47,0.33,0.18,0.04,-1.29,2.50,0.75,0.00,0.02,1.09,5.53,,
E01009092,1774,1.39,0.12,0.32,0.19,0.04,-1.39,0.76,0.33,0.00,0.04,1.17,3.20,,
E01009093,1746,1.37,0.47,0.35,0.19,0.04,-1.35,0.04,0.09,0.00,0.05,1.14,2.20,,
E01009094,1639,1.28,0.42,0.28,0.17,0.04,-1.27,2.87,0.26,0.00,0.03,1.07,5.22,,
E01009095,1915,1.50,0.35,0.36,0.20,0.05,-1.48,3.15,0.50,0.00,0.02,1.25,5.98,,
E01009096,1641,1.28,0.48,0.29,0.17,0.04,-1.27,2.21,0.46,0.00,0.02,1.07,4.71,,
E01009097,2053,1.60,0.40,0.37,0.22,0.05,-1.59,1.58,0.14,0.00,0.06,1.34,4.09,,
E01009098,2096,1.68,0.28,0.41,0.22,0.05,-1.63,2.84,0.22,0.00,0.05,1.38,5.59,,
E01009099,1755,1.37,0.60,0.32,0.19,0.04,-1.36,3.70,0.17,0.00,0.05,1.14,5.90,,
E01009100,1941,1.53,0.68,0.34,0.21,0.05,-1.51,3.31,0.44,0.00,0.03,1.28,5.97,,
E01009101,1563,1.22,0.59,0.27,0.17,0.04,-1.22,2.06,0.39,0.00,0.02,1.02,4.40,,
E01008966,1834,1.44,0.49,0.36,0.20,0.04,-1.42,0.05,0.10,0.00,0.05,1.20,2.31,,
E01008967,1590,1.24,0.21,0.30,0.17,0.04,-1.23,0.07,0.09,0.00,0.04,1.03,2.03,,
E01008968,1810,1.41,0.30,0.37,0.19,0.04,-1.41,0.76,0.15,0.00,0.05,1.19,3.18,,
E01008969,1661,1.29,0.54,0.29,0.18,0.04,-1.29,2.11,0.50,0.00,0.02,1.08,4.67,,
E01008970,1457,1.16,0.22,0.28,0.16,0.03,-1.13,1.14,0.10,0.00,0.04,0.95,2.99,,
E01008971,1749,1.39,0.38,0.32,0.19,0.04,-1.35,2.51,0.18,0.00,0.05,1.14,4.59,,
E01008972,1884,1.47,0.40,0.35,0.20,0.05,-1.45,0.14,0.12,0.00,0.05,1.23,2.39,,
E01008973,1921,1.50,0.16,0.35,0.20,0.05,-1.49,0.78,0.38,0.00,0.04,1.26,3.38,,
E01008974,2790,2.18,0.34,0.53,0.30,0.07,-2.15,0.10,0.17,0.00,0.08,1.81,3.52,,
E01009162,1602,1.25,0.44,0.31,0.17,0.04,-1.24,0.10,0.09,0.00,0.04,1.05,2.07,,
E01009146,2650,2.19,0.78,0.49,0.32,0.07,-2.29,3.19,0.33,0.00,0.07,1.88,7.40,,
E01009261,1733,1.35,0.19,0.33,0.18,0.04,-1.34,0.14,0.11,0.00,0.05,1.13,2.11,,
E01008976,1524,1.19,0.28,0.27,0.16,0.04,-1.18,0.75,0.26,0.00,0.03,0.99,3.08,,
E01009102,1637,1.28,0.22,0.31,0.17,0.04,-1.26,0.07,0.09,0.00,0.05,1.06,2.09,,
E01008882,2084,1.66,0.44,0.36,0.23,0.05,-1.66,2.05,0.36,0.00,0.04,1.43,5.04,,
E01008883,2030,1.59,0.56,0.40,0.22,0.05,-1.57,0.13,0.11,0.00,0.05,1.33,2.62,,
E01008884,2247,1.76,0.25,0.40,0.24,0.05,-1.74,0.12,0.12,0.00,0.06,1.46,2.78,,
E01008885,1314,1.02,0.18,0.22,0.14,0.03,-1.02,0.74,0.24,0.00,0.03,0.86,2.51,,
E01008886,1561,1.22,0.16,0.29,0.17,0.04,-1.21,0.68,0.09,0.00,0.04,1.02,2.53,,
E01008887,1972,1.54,0.12,0.37,0.21,0.05,-1.52,0.70,0.11,0.00,0.05,1.28,3.11,,
E01008888,1653,1.29,0.17,0.32,0.18,0.04,-1.28,1.91,0.21,0.00,0.04,1.08,3.88,,
E01008889,1804,1.41,0.67,0.32,0.19,0.04,-1.41,2.13,0.43,0.00,0.02,1.18,4.60,,
E01008890,1876,1.55,0.32,0.39,0.20,0.05,-1.48,2.06,0.11,0.00,0.05,1.23,4.43,,
E01008891,1615,1.26,0.20,0.30,0.17,0.04,-1.26,0.64,0.28,0.00,0.03,1.06,2.80,,
E01008892,1457,1.14,0.40,0.29,0.16,0.04,-1.13,0.09,0.08,0.00,0.04,0.95,1.88,,
E01008893,1748,1.37,0.75,0.29,0.19,0.04,-1.35,2.47,0.20,0.00,0.04,1.14,4.93,,
E01008894,1674,1.31,0.57,0.32,0.18,0.04,-1.30,2.35,0.54,0.00,0.02,1.09,5.14,,
E01008895,1915,1.50,0.33,0.35,0.20,0.05,-1.48,2.22,0.56,0.00,0.02,1.25,4.81,,
E01008896,1965,1.55,0.66,0.33,0.21,0.05,-1.54,1.39,0.33,0.00,0.04,1.30,4.12,,
E01008897,2049,1.61,0.34,0.37,0.22,0.05,-1.59,1.20,0.21,0.00,0.05,1.34,4.00,,
E01008898,1754,1.39,0.31,0.34,0.19,0.04,-1.36,2.31,0.18,0.00,0.05,1.14,4.61,,
E01009048,2061,1.61,0.70,0.40,0.22,0.05,-1.59,0.10,0.11,0.00,0.05,1.34,2.59,,
E01008899,1324,1.04,0.41,0.25,0.14,0.03,-1.03,1.72,0.38,0.00,0.01,0.86,3.70,,
E01008901,1842,1.45,0.56,0.32,0.20,0.04,-1.44,2.05,0.34,0.00,0.04,1.23,4.62,,
E01008905,1974,1.57,0.39,0.37,0.21,0.05,-1.52,2.12,0.24,0.00,0.05,1.29,4.59,,
E01008906,1955,1.53,0.53,0.39,0.21,0.05,-1.52,0.05,0.11,0.00,0.05,1.28,2.46,,
E01008907,1861,1.45,0.25,0.36,0.20,0.04,-1.44,2.48,0.79,0.00,0.02,1.21,5.79,,
E01008909,2169,1.70,0.58,0.43,0.23,0.05,-1.68,0.05,0.12,0.00,0.06,1.42,2.73,,
E01008910,1831,1.43,0.38,0.34,0.19,0.04,-1.41,0.12,0.12,0.00,0.04,1.19,2.30,,
E01008911,1954,1.55,0.74,0.35,0.21,0.05,-1.51,2.87,0.18,0.00,0.05,1.27,5.19,,
E01008913,2241,1.75,0.57,0.38,0.24,0.05,-1.73,2.39,0.75,0.00,0.02,1.46,6.10,,
E01008915,1748,1.37,0.35,0.33,0.19,0.04,-1.35,0.92,0.29,0.00,0.04,1.14,3.23,,
E01008916,1700,1.36,0.35,0.31,0.18,0.04,-1.33,1.58,0.22,0.00,0.04,1.12,3.89,,
E01008917,1242,0.97,0.26,0.21,0.13,0.03,-0.96,1.85,0.17,0.00,0.03,0.81,3.48,,
E01008918,1736,1.36,0.46,0.30,0.19,0.04,-1.35,1.68,0.46,0.00,0.02,1.14,4.01,,
E01008919,1640,1.28,0.11,0.32,0.17,0.04,-1.27,0.30,0.10,0.00,0.05,1.07,2.19,,
E01008920,1288,1.01,0.42,0.25,0.14,0.03,-0.99,1.95,0.15,0.00,0.03,0.84,3.73,,
E01008921,1441,1.12,0.39,0.27,0.15,0.03,-1.11,0.07,0.08,0.00,0.04,0.94,1.82,,
E01008923,1549,1.21,0.17,0.28,0.16,0.04,-1.20,0.56,0.10,0.00,0.04,1.01,2.45,,
E01008924,1531,1.19,0.09,0.27,0.16,0.04,-1.18,0.28,0.10,0.00,0.04,1.00,2.31,,
E01008925,1198,0.98,0.30,0.23,0.13,0.03,-0.93,1.32,0.12,0.00,0.03,0.78,2.87,,
E01008927,1272,0.99,0.16,0.24,0.14,0.03,-0.98,2.93,0.14,0.00,0.04,0.83,4.47,,
E01008928,1526,1.20,0.40,0.28,0.16,0.04,-1.24,1.77,0.22,0.00,0.03,1.06,3.68,,
E01008929,1596,1.26,0.32,0.30,0.17,0.04,-1.24,1.30,0.18,0.00,0.04,1.04,3.26,,
E01008930,2009,1.57,0.46,0.38,0.21,0.05,-1.55,2.54,0.31,0.00,0.04,1.31,5.12,,
E01008931,1486,1.16,0.17,0.30,0.16,0.04,-1.17,0.65,0.09,0.00,0.05,0.98,2.64,,
E01008932,1688,1.35,0.51,0.29,0.18,0.04,-1.37,1.96,0.27,0.00,0.04,1.16,4.03,,
E01008933,1603,1.31,0.20,0.31,0.17,0.04,-1.25,1.85,0.10,0.00,0.04,1.06,4.25,,
E01008934,1458,1.17,0.39,0.27,0.15,0.03,-1.13,1.74,0.16,0.00,0.04,0.95,3.58,,
E01008935,1863,1.46,0.38,0.35,0.20,0.04,-1.44,0.16,0.12,0.00,0.05,1.22,2.33,,
E01008936,1673,1.31,0.07,0.30,0.18,0.04,-1.29,0.35,0.10,0.00,0.05,1.09,2.30,,
E01009164,1412,1.10,0.19,0.26,0.15,0.03,-1.09,0.06,0.08,0.00,0.04,0.92,1.81,,
E01009165,1414,1.11,0.16,0.26,0.15,0.03,-1.11,1.00,0.29,0.00,0.03,0.94,3.04,,
E01009166,1339,1.05,0.33,0.23,0.14,0.03,-1.04,1.88,0.29,0.00,0.03,0.87,4.03,,
E01009167,1454,1.13,0.25,0.27,0.15,0.03,-1.12,2.21,0.38,0.00,0.03,0.95,4.32,,
E01009168,1458,1.15,0.31,0.25,0.16,0.04,-1.16,1.92,0.34,0.00,0.02,0.98,4.05,,
E01009169,1698,1.34,0.39,0.34,0.18,0.04,-1.32,0.99,0.17,0.00,0.04,1.10,3.22,,
E01009170,1502,1.20,0.29,0.28,0.16,0.04,-1.17,0.75,0.10,0.00,0.04,0.99,2.63,,
E01009171,1659,1.30,0.67,0.29,0.18,0.04,-1.29,2.09,0.20,0.00,0.04,1.08,4.22,,
E01009172,1440,1.13,0.19,0.27,0.15,0.03,-1.11,0.06,0.08,0.00,0.04,0.94,1.84,,
E01009173,1731,1.35,0.23,0.32,0.18,0.04,-1.34,0.07,0.10,0.00,0.05,1.13,2.21,,
E01009174,1182,0.92,0.34,0.21,0.13,0.03,-0.92,1.30,0.23,0.00,0.02,0.78,2.98,,
E01009175,1434,1.14,0.19,0.26,0.15,0.03,-1.11,0.08,0.07,0.00,0.04,0.93,1.80,,
E01009176,1746,1.37,0.47,0.35,0.19,0.04,-1.35,0.04,0.09,0.00,0.05,1.14,2.20,,
E01009177,1565,1.22,0.53,0.30,0.17,0.04,-1.21,0.07,0.08,0.00,0.04,1.02,1.96,,
E01009178,1638,1.28,0.13,0.33,0.17,0.04,-1.27,0.36,0.11,0.00,0.04,1.07,2.19,,
E01009179,1705,1.33,0.03,0.31,0.18,0.04,-1.32,1.43,0.10,0.00,0.05,1.11,3.51,,
E01009182,1599,1.25,0.67,0.22,0.17,0.04,-1.23,1.23,0.61,0.00,0.01,1.04,4.23,,
E01009183,1667,1.32,0.51,0.32,0.18,0.04,-1.29,0.70,0.17,0.00,0.04,1.08,2.93,,
E01009184,1570,1.22,0.33,0.29,0.17,0.04,-1.21,2.83,0.63,0.00,0.02,1.02,5.27,,
E01009185,1704,1.34,0.46,0.34,0.18,0.04,-1.32,0.04,0.09,0.00,0.05,1.11,2.15,,
E01008831,1932,1.51,0.29,0.38,0.21,0.05,-1.49,2.36,0.18,0.00,0.05,1.26,4.71,,
E01009186,1857,1.45,0.43,0.35,0.20,0.04,-1.44,2.69,0.47,0.00,0.02,1.21,5.44,,
E01009187,1503,1.18,0.47,0.29,0.16,0.04,-1.17,0.31,0.08,0.00,0.04,1.00,2.06,,
E01009188,1493,1.16,0.48,0.28,0.16,0.04,-1.15,0.08,0.08,0.00,0.04,0.97,1.88,,
E01009189,1383,1.08,0.37,0.27,0.15,0.03,-1.07,0.03,0.08,0.00,0.04,0.90,1.74,,
E01009192,2777,2.19,0.33,0.52,0.30,0.07,-2.18,4.11,0.30,0.00,0.07,1.82,7.62,,
E01009195,2718,2.12,0.49,0.52,0.29,0.07,-2.10,3.36,0.85,0.00,0.03,1.77,7.25,,
E01009197,1910,1.49,0.26,0.36,0.20,0.05,-1.47,0.09,0.12,0.00,0.05,1.24,2.27,,
E01009199,1455,1.14,0.12,0.26,0.15,0.03,-1.12,0.61,0.29,0.00,0.03,0.95,2.52,,
E01009200,1832,1.44,0.37,0.29,0.21,0.05,-1.49,3.89,0.20,0.00,0.05,1.27,6.46,,
E01009201,2001,1.56,0.58,0.39,0.21,0.05,-1.55,0.39,0.11,0.00,0.05,1.30,2.65,,
E01009202,1804,1.42,0.29,0.36,0.19,0.04,-1.40,0.55,0.15,0.00,0.05,1.18,2.87,,
E01009204,2200,1.72,0.26,0.43,0.23,0.05,-1.70,2.33,0.16,0.00,0.05,1.44,5.25,,
E01009205,1562,1.22,0.42,0.31,0.17,0.04,-1.21,0.04,0.08,0.00,0.04,1.02,1.97,,
E01009206,1538,1.23,0.28,0.31,0.17,0.04,-1.21,1.11,0.13,0.00,0.04,1.02,2.96,,
E01009207,1615,1.27,0.43,0.32,0.17,0.04,-1.25,0.04,0.09,0.00,0.04,1.05,2.03,,
E01009208,1661,1.29,0.51,0.30,0.18,0.04,-1.28,1.03,0.58,0.00,0.01,1.08,3.92,,
E01009209,2045,1.60,0.26,0.40,0.22,0.05,-1.58,0.09,0.13,0.00,0.06,1.33,2.57,,
E01009210,1764,1.38,0.22,0.34,0.19,0.04,-1.36,0.75,0.10,0.00,0.05,1.15,2.85,,
E01009211,1418,1.11,0.38,0.28,0.15,0.03,-1.10,0.04,0.08,0.00,0.04,0.93,1.79,,
E01009212,1804,1.41,0.19,0.34,0.19,0.04,-1.39,0.79,0.10,0.00,0.05,1.17,2.93,,
E01009213,1626,1.29,0.44,0.30,0.17,0.04,-1.26,0.69,0.19,0.00,0.04,1.06,2.89,,
E01009214,1593,1.24,0.54,0.28,0.17,0.04,-1.23,2.34,0.24,0.00,0.04,1.04,4.51,,
E01009215,1847,1.46,0.33,0.36,0.20,0.04,-1.45,0.24,0.10,0.00,0.05,1.22,2.52,,
E01009216,2086,1.63,0.33,0.37,0.22,0.05,-1.61,2.55,0.42,0.00,0.04,1.36,5.37,,
E01009217,1542,1.21,0.29,0.26,0.16,0.04,-1.19,0.68,0.25,0.00,0.03,1.01,2.65,,
E01009218,1645,1.28,0.20,0.29,0.17,0.04,-1.27,2.24,0.45,0.00,0.01,1.07,4.50,,
E01008977,1576,1.23,0.69,0.23,0.17,0.04,-1.22,1.87,0.57,0.00,0.01,1.03,4.94,,
E01008978,1291,1.01,0.22,0.26,0.14,0.03,-1.00,2.17,0.36,0.00,0.02,0.84,3.89,,
E01008979,1618,1.26,0.35,0.31,0.17,0.04,-1.25,1.83,0.26,0.00,0.03,1.05,3.99,,
E01008980,1788,1.39,0.58,0.33,0.19,0.04,-1.38,0.09,0.09,0.00,0.05,1.16,2.25,,
E01008981,1514,1.18,0.51,0.29,0.16,0.04,-1.17,0.07,0.08,0.00,0.04,0.98,1.90,,
E01008982,1671,1.31,0.24,0.31,0.18,0.04,-1.33,3.59,0.23,0.00,0.04,1.12,5.64,,
E01008984,1805,1.41,0.85,0.29,0.19,0.04,-1.39,3.45,0.17,0.00,0.05,1.17,6.72,,
E01008986,1621,1.26,0.60,0.28,0.17,0.04,-1.25,2.67,0.16,0.00,0.04,1.05,4.81,,
E01008987,1525,1.19,0.22,0.27,0.16,0.04,-1.18,2.73,0.59,0.00,0.02,0.99,4.98,,
E01008988,2028,1.59,0.57,0.35,0.22,0.05,-1.59,1.96,0.33,0.00,0.05,1.33,4.89,,
E01008989,1673,1.31,0.59,0.28,0.18,0.04,-1.29,3.57,0.48,0.00,0.03,1.09,5.66,,
E01008990,1104,0.86,0.13,0.22,0.12,0.03,-0.86,0.11,0.08,0.00,0.03,0.72,1.39,,
E01008991,1858,1.45,0.77,0.37,0.20,0.04,-1.44,3.12,0.83,0.00,0.02,1.21,6.21,,
E01008992,1394,1.09,0.43,0.25,0.15,0.03,-1.08,2.07,0.46,0.00,0.01,0.91,4.52,,
E01008847,1332,1.05,0.33,0.23,0.14,0.03,-1.03,1.43,0.26,0.00,0.02,0.87,3.22,,
E01008848,1282,1.00,0.32,0.23,0.14,0.03,-0.99,1.17,0.32,0.00,0.01,0.84,2.90,,
E01008849,1391,1.09,0.37,0.28,0.15,0.03,-1.08,0.03,0.08,0.00,0.04,0.91,1.75,,
E01008851,1518,1.19,0.41,0.26,0.16,0.04,-1.18,1.28,0.11,0.00,0.04,0.99,3.26,,
E01008852,1132,0.92,0.24,0.21,0.12,0.03,-0.90,1.86,0.09,0.00,0.03,0.76,3.15,,
E01008853,1411,1.10,0.49,0.23,0.15,0.03,-1.09,1.56,0.46,0.00,0.02,0.92,3.77,,
E01008854,1278,1.00,0.17,0.24,0.14,0.03,-0.99,0.10,0.08,0.00,0.03,0.83,1.54,,
E01008855,1360,1.07,0.34,0.22,0.14,0.03,-1.05,2.25,0.13,0.00,0.04,0.89,3.84,,
E01008856,1242,0.97,0.30,0.22,0.13,0.03,-0.96,1.59,0.20,0.00,0.03,0.81,3.18,,
E01008857,1308,1.02,0.11,0.24,0.14,0.03,-1.02,1.73,0.14,0.00,0.04,0.86,3.35,,
E01008858,1242,0.97,0.13,0.23,0.13,0.03,-0.96,0.05,0.08,0.00,0.04,0.81,1.51,,
E01008859,1344,1.08,0.09,0.26,0.14,0.03,-1.06,0.59,0.08,0.00,0.04,0.89,2.22,,
E01008860,1305,1.03,0.23,0.26,0.14,0.03,-1.02,0.17,0.07,0.00,0.04,0.86,1.78,,
E01008861,1447,1.13,0.21,0.28,0.15,0.03,-1.12,0.10,0.09,0.00,0.04,0.94,1.85,,
E01008862,1265,1.00,0.38,0.26,0.14,0.03,-1.05,1.64,0.53,0.00,0.01,0.88,3.69,,
E01008863,1555,1.21,0.53,0.30,0.17,0.04,-1.20,0.07,0.08,0.00,0.04,1.01,1.95,,
E01008864,1175,0.92,0.20,0.19,0.12,0.03,-0.91,2.21,0.15,0.00,0.03,0.76,3.74,,
E01008865,1260,0.99,0.22,0.23,0.13,0.03,-0.98,0.26,0.08,0.00,0.03,0.82,1.71,,
E01008866,1300,1.03,0.21,0.25,0.14,0.03,-1.01,1.19,0.13,0.00,0.03,0.85,2.73,,
E01008867,1562,1.24,0.10,0.30,0.17,0.04,-1.21,0.67,0.09,0.00,0.04,1.02,2.58,,
E01008868,1099,0.86,0.13,0.20,0.12,0.03,-0.85,0.98,0.23,0.00,0.02,0.72,2.37,,
E01008869,1182,0.92,0.34,0.23,0.13,0.03,-0.91,0.23,0.07,0.00,0.03,0.77,1.55,,
E01008870,1324,1.03,0.13,0.25,0.14,0.03,-1.02,0.02,0.08,0.00,0.04,0.86,1.58,,
E01008871,1317,1.03,0.35,0.26,0.14,0.03,-1.02,0.03,0.07,0.00,0.04,0.86,1.66,,
E01008872,1738,1.36,0.23,0.29,0.19,0.04,-1.36,3.09,0.23,0.00,0.05,1.14,5.28,,
E01008873,1172,0.91,0.33,0.20,0.12,0.03,-0.91,1.81,0.20,0.00,0.02,0.76,3.35,,
E01008874,1744,1.36,0.55,0.29,0.19,0.04,-1.35,2.70,0.34,0.00,0.04,1.14,5.05,,
E01008875,1414,1.11,0.53,0.25,0.15,0.03,-1.09,1.69,0.42,0.00,0.02,0.92,3.65,,
E01008876,1676,1.31,0.38,0.29,0.18,0.04,-1.30,1.63,0.24,0.00,0.04,1.09,3.72,,
E01008877,1624,1.28,0.45,0.28,0.17,0.04,-1.26,2.28,0.52,0.00,0.01,1.06,4.78,,
E01008878,1480,1.15,0.45,0.28,0.16,0.04,-1.14,2.07,0.43,0.00,0.02,0.96,4.26,,
E01008879,1274,1.01,0.19,0.24,0.14,0.03,-0.99,2.12,0.11,0.00,0.03,0.83,3.88,,
E01008880,1096,0.87,0.30,0.20,0.12,0.03,-0.85,1.30,0.13,0.00,0.03,0.71,2.59,,
E01008881,1802,1.41,0.22,0.35,0.19,0.04,-1.39,0.15,0.11,0.00,0.05,1.17,2.17,,
E01009262,1814,1.42,0.32,0.35,0.19,0.04,-1.40,0.12,0.12,0.00,0.05,1.18,2.33,,
E01009147,1853,1.45,0.64,0.35,0.20,0.04,-1.43,0.35,0.10,0.00,0.05,1.21,2.44,,
E01009151,2148,1.70,0.40,0.41,0.23,0.05,-1.67,1.47,0.45,0.00,0.04,1.42,4.33,,
E01009152,1889,1.47,0.48,0.35,0.20,0.05,-1.46,2.88,0.31,0.00,0.04,1.23,5.41,,
E01009153,2094,1.65,0.26,0.39,0.22,0.05,-1.62,3.01,0.22,0.00,0.06,1.36,5.55,,
E01009155,1348,1.05,0.13,0.25,0.14,0.03,-1.04,0.04,0.08,0.00,0.04,0.88,1.65,,
E01009157,1438,1.13,0.16,0.26,0.15,0.03,-1.12,0.28,0.10,0.00,0.04,0.94,2.01,,
E01009158,2288,1.78,0.26,0.43,0.24,0.05,-1.77,0.04,0.14,0.00,0.06,1.49,2.76,,
E01009159,2253,1.77,0.61,0.45,0.24,0.05,-1.75,0.06,0.12,0.00,0.06,1.47,2.84,,
E01008944,1818,1.42,0.28,0.35,0.19,0.04,-1.40,0.15,0.11,0.00,0.05,1.18,2.19,,
E01008945,1792,1.41,0.26,0.35,0.19,0.04,-1.38,0.36,0.10,0.00,0.05,1.17,2.36,,
E01008946,1505,1.18,0.40,0.30,0.16,0.04,-1.17,0.04,0.08,0.00,0.04,0.98,1.89,,
E01008947,1348,1.06,0.37,0.24,0.14,0.03,-1.05,1.30,0.17,0.00,0.03,0.88,3.13,,
E01008948,1477,1.16,0.26,0.29,0.16,0.04,-1.16,0.19,0.08,0.00,0.04,0.97,2.02,,
E01008949,1196,0.94,0.32,0.24,0.13,0.03,-0.93,0.03,0.06,0.00,0.03,0.78,1.51,,
E01008950,1430,1.11,0.10,0.27,0.15,0.03,-1.10,0.26,0.09,0.00,0.04,0.93,1.81,,
E01008951,1365,1.07,0.04,0.24,0.15,0.03,-1.06,0.57,0.08,0.00,0.04,0.89,2.23,,
E01008952,1805,1.41,0.58,0.29,0.19,0.04,-1.40,2.23,0.54,0.00,0.02,1.17,5.03,,
E01008953,1623,1.27,0.42,0.29,0.17,0.04,-1.25,2.09,0.49,0.00,0.02,1.06,4.36,,
E01008835,1525,1.21,0.17,0.27,0.17,0.04,-1.20,0.84,0.11,0.00,0.04,1.02,2.57,,
E01008954,1419,1.11,0.15,0.27,0.15,0.03,-1.10,0.21,0.09,0.00,0.04,0.92,1.83,,
E01008836,1327,1.04,0.11,0.24,0.14,0.03,-1.03,0.39,0.23,0.00,0.02,0.87,2.22,,
E01008955,1631,1.27,0.19,0.32,0.17,0.04,-1.26,0.69,0.09,0.00,0.05,1.06,2.74,,
