Datazone,Population,Air.quality,Noise,Congestion,Road.Repairs,Road.Safety,Hassle.Costs,Physical.Activity,Excess.Cold,Excess.Heat,Dampness,Diet.Change,Total,,£ millions total
E01016527,1616,1.32,0.31,0.32,0.17,0.04,-1.25,1.69,0.34,0.00,0.02,1.05,4.02,,
E01016599,1683,1.40,0.23,0.32,0.18,0.04,-1.31,2.39,0.38,0.00,0.03,1.10,4.92,,
E01016624,1369,1.13,0.19,0.26,0.15,0.03,-1.06,2.81,0.14,0.00,0.03,0.89,4.55,,
E01016742,1969,1.63,0.17,0.35,0.21,0.05,-1.52,1.88,0.41,0.00,0.03,1.28,4.42,,
E01016685,1628,1.34,0.34,0.30,0.17,0.04,-1.26,2.89,0.63,0.00,0.01,1.06,5.62,,
E01016774,1802,1.49,0.22,0.33,0.19,0.04,-1.39,0.38,0.80,0.00,0.01,1.17,3.15,,
E01016528,1718,1.43,0.07,0.30,0.18,0.04,-1.33,0.02,0.78,0.00,0.01,1.12,2.70,,
E01016557,1940,1.60,0.22,0.37,0.21,0.05,-1.50,2.77,0.79,0.00,0.01,1.26,6.35,,
E01016625,1710,1.41,0.23,0.33,0.18,0.04,-1.32,1.12,0.73,0.00,0.01,1.11,3.91,,
E01016744,1779,1.47,0.20,0.34,0.19,0.04,-1.37,0.94,0.82,0.00,0.01,1.16,3.96,,
E01016686,1113,0.92,0.13,0.21,0.12,0.03,-0.86,0.59,0.48,0.00,0.01,0.72,2.50,,
E01016775,1719,1.44,0.19,0.31,0.18,0.04,-1.33,1.55,0.75,0.00,0.01,1.14,4.16,,
E01016529,2191,1.78,0.68,0.41,0.23,0.05,-1.69,1.05,0.80,0.00,0.02,1.43,5.10,,
E01016600,1147,0.95,0.30,0.22,0.12,0.03,-0.90,1.91,0.32,0.00,0.02,0.75,3.77,,
E01016626,2173,1.81,0.46,0.40,0.23,0.05,-1.69,2.87,0.50,0.00,0.03,1.43,6.10,,
E01016807,1833,1.53,0.07,0.32,0.19,0.04,-1.42,0.02,0.83,0.00,0.01,1.19,2.88,,
E01016687,1241,1.04,0.05,0.22,0.13,0.03,-0.96,0.01,0.56,0.00,0.01,0.81,1.95,,
E01016776,1462,1.20,0.27,0.28,0.16,0.04,-1.13,1.01,0.62,0.00,0.01,0.95,3.44,,
E01016530,1646,1.36,0.22,0.32,0.17,0.04,-1.27,1.16,0.70,0.00,0.01,1.07,3.79,,
E01016558,1473,1.24,0.34,0.28,0.16,0.04,-1.14,2.37,0.46,0.00,0.02,0.96,4.85,,
E01016627,2131,1.75,0.37,0.40,0.23,0.05,-1.65,2.13,0.88,0.00,0.01,1.39,5.96,,
E01016635,1414,1.15,0.42,0.27,0.15,0.03,-1.09,1.78,0.47,0.00,0.01,0.92,3.99,,
E01016688,2173,1.79,0.35,0.39,0.23,0.05,-1.68,3.71,0.85,0.00,0.02,1.41,7.37,,
E01016777,1580,1.30,0.35,0.27,0.17,0.04,-1.22,2.29,0.50,0.00,0.02,1.03,4.82,,
E01016531,1462,1.21,0.16,0.26,0.16,0.04,-1.13,0.33,0.63,0.00,0.01,0.95,2.64,,
E01016601,1631,1.33,0.41,0.31,0.17,0.04,-1.26,0.93,0.54,0.00,0.01,1.06,3.67,,
E01016628,2906,2.38,0.62,0.52,0.31,0.07,-2.24,3.18,1.05,0.00,0.02,1.89,7.65,,
E01016533,1921,1.59,0.26,0.35,0.20,0.05,-1.48,2.38,0.81,0.00,0.01,1.25,5.15,,
E01016689,1328,1.10,0.19,0.26,0.14,0.03,-1.03,1.59,0.44,0.00,0.01,0.86,3.66,,
E01016778,1666,1.36,0.38,0.32,0.18,0.04,-1.29,1.61,0.55,0.00,0.01,1.08,4.10,,
E01016806,1983,1.62,0.51,0.39,0.21,0.05,-1.53,2.02,0.68,0.00,0.01,1.29,5.06,,
E01016559,1458,1.20,0.27,0.30,0.15,0.03,-1.13,3.25,0.14,0.00,0.04,0.95,5.14,,
E01016629,1344,1.10,0.28,0.25,0.14,0.03,-1.04,1.62,0.43,0.00,0.01,0.87,3.65,,
